SecurityIssuerId,SecurityIssuerCode,SecurityIssuerDesc,IssuerCountryId,DomicileCountryId,OverrideRiskCountryId,RiskCountryId,CountryId,OverrideRiskCurrencyId,RiskCurrencyId,OverrideGICsSubIndustryId,GICSSubIndustryId,BbergCompanyId,ActiveYN,PrimarySecurityId,OverrideNotes,LastModifiedBy,LastModifiedOn,RiskApprovedBy,RiskApprovedOn,OpsApprovedOn,OpsApprovedBy,RestrictedYN,RestrictionChangedBy,RestrictionChangedOn,RestrictionChangeNotes,CompanyDescFull
261,NOK FX,NOK FX,199,199,NULL,199,NULL,NULL,24,NULL,NULL,NULL,1,NULL,NULL,SecurityResolve,2011-03-18 10:10:30.500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
262,SEK FX,SEK FX,199,199,NULL,199,NULL,NULL,27,NULL,NULL,NULL,1,NULL,NULL,SecurityResolve,2011-03-18 10:10:31.590,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
263,SGD FX,SGD FX,199,199,NULL,199,NULL,NULL,28,NULL,NULL,NULL,1,NULL,NULL,SecurityResolve,2011-03-18 10:10:32.777,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
264,USD,USD,199,199,NULL,199,NULL,NULL,32,NULL,NULL,NULL,1,NULL,NULL,SecurityResolve,2011-03-18 10:10:34.850,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
265,JASO US,JA Solar Holdings Co Ltd,236,17,NULL,17,17,NULL,32,NULL,45301020,11459917,0,354,NULL,SecSetup,2011-03-18 10:20:32.397,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
266,SPG US,Simon Property Group Inc,236,236,NULL,236,236,NULL,32,NULL,40402060,126551,0,355,NULL,SecSetup,2011-03-18 10:20:34.807,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
267,STP US,Suntech Power Holdings Co Ltd,236,17,NULL,17,17,NULL,32,NULL,45301020,10107936,0,386,NULL,SecSetup,2011-03-18 10:30:38.163,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
268,BSX US,Boston Scientific Corp,236,236,NULL,236,236,NULL,32,NULL,35101010,100218,0,397,NULL,SecSetup,2011-03-22 09:30:21.713,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
269,AAN US,Aaron's Inc,236,236,NULL,236,236,NULL,32,NULL,25504060,102188,0,405,NULL,SecSetup,2011-03-23 15:02:50.967,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
270,ALGT US,Allegiant Travel Co,236,236,NULL,236,236,NULL,32,NULL,20302010,10782954,0,406,NULL,SecSetup,2011-03-23 15:02:52.230,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
271,CVS US,CVS Caremark Corp,236,236,NULL,236,236,NULL,32,NULL,30101010,100976,0,407,NULL,SecSetup,2011-03-24 09:30:18.320,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
272,SREV US,ServiceSource International LL,236,236,NULL,236,236,NULL,32,NULL,NULL,15414920,0,426,NULL,SecSetup,2011-03-25 09:30:08.480,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
273,QIHU US,Qihoo 360 Technology Co Ltd,236,17,NULL,17,17,NULL,32,NULL,45101010,17857506,0,429,NULL,SecSetup,2011-03-30 09:30:05.380,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
274,DLB US,Dolby Laboratories Inc,236,236,NULL,236,236,NULL,32,NULL,45203015,916504,0,436,NULL,SecSetup,2011-04-01 09:30:17.897,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
275,INTC US,Intel Corp,236,236,NULL,236,236,NULL,32,NULL,45301020,101729,0,439,NULL,SecSetup,2011-04-01 15:13:18.973,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
276,ILBONV,ILBONV,199,199,NULL,199,NULL,NULL,11,NULL,NULL,NULL,1,NULL,NULL,SecurityResolve,2011-04-04 10:40:22.140,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
277,JEF US,Jefferies Group Inc,236,236,NULL,236,236,NULL,32,NULL,40203020,823505,0,446,NULL,SecSetup,2011-12-02 13:12:36.397,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
278,3385950Z LX,CVC Capital Partners Group SAR,46,46,NULL,46,46,NULL,11,NULL,NULL,15501243,0,448,NULL,SecSetup,2011-04-08 09:40:17.357,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
279,MAC US,Macerich Co/The,236,236,NULL,236,236,NULL,32,NULL,40402060,126353,0,463,NULL,SecSetup,2011-04-12 11:31:15.203,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
280,SLGN US,Silgan Holdings Inc,236,236,NULL,236,236,NULL,32,NULL,15103010,159323,0,464,NULL,SecSetup,2011-04-13 09:40:15.917,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
281,BX US,Blackstone Group LP,236,236,NULL,236,236,NULL,32,NULL,40203010,302892,0,466,NULL,SecSetup,2011-04-13 10:40:47.680,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
282,ARCO US,Los Laureles Ltd,236,2,NULL,2,2,NULL,32,NULL,25301040,24338184,0,469,NULL,SecSetup,2011-04-14 09:30:11.097,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
283,SODA US,SodaStream International Ltd,236,36,NULL,36,36,NULL,32,NULL,25201040,21133320,0,470,NULL,SecSetup,2011-04-14 09:30:11.817,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
284,ZIP US,Zipcar Inc,236,236,NULL,236,236,NULL,32,NULL,20304020,9453959,0,471,NULL,SecSetup,2011-04-14 09:30:12.283,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
285,CHKP US,Check Point Software Technolog,236,36,NULL,36,36,NULL,32,NULL,45103020,171922,0,472,NULL,SecSetup,2011-04-14 10:50:52.770,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
286,GGP LP ESCROW 3.98 1,GGP LP ESCROW 3.98 1,236,236,NULL,236,NULL,NULL,32,NULL,NULL,NULL,1,NULL,NULL,SecurityResolve,2011-04-15 18:11:02.597,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
287,IGT US,International Game Technology,236,236,NULL,236,236,NULL,32,NULL,25301010,100804,0,478,NULL,SecSetup,2011-04-18 09:30:22.017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
288,STX US,Seagate Technology PLC,236,35,NULL,35,35,NULL,32,NULL,45202020,1749108,0,485,NULL,SecSetup,2011-04-19 09:30:23.790,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
289,WDC US,Western Digital Corp,236,236,NULL,236,236,NULL,32,NULL,45202020,101643,0,486,NULL,SecSetup,2011-04-19 09:30:25.337,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
290,POP SM,Banco Popular Espanol SA,73,73,NULL,73,73,NULL,11,NULL,40101010,115712,0,505,NULL,SecSetup,2011-06-27 16:28:04.680,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
291,SAB SM,Banco de Sabadell SA,73,73,NULL,73,73,NULL,11,NULL,40101010,233612,0,506,NULL,SecSetup,2011-04-20 11:21:14.067,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
292,BNCSBD,BNCSBD,199,199,NULL,199,NULL,NULL,11,NULL,NULL,NULL,1,NULL,NULL,SecurityResolve,2011-04-21 09:33:22.573,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
293,BNPPES,BNPPES,199,199,NULL,199,NULL,NULL,11,NULL,NULL,NULL,1,NULL,NULL,SecurityResolve,2011-04-21 09:33:22.900,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
294,USD FX,USD FX,199,199,NULL,199,NULL,NULL,32,NULL,NULL,NULL,1,NULL,NULL,SecurityResolve,2011-04-21 09:33:23.623,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
295,VNET US,21Vianet Group Inc,236,17,NULL,17,17,NULL,32,NULL,NULL,24346870,0,530,NULL,SecSetup,2011-04-21 11:11:10.177,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
296,MYGN US,Myriad Genetics Inc,236,236,NULL,236,236,NULL,32,NULL,35201010,179116,0,531,NULL,SecSetup,2011-04-21 14:32:56.853,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
297,DEXB BB,Dexia SA,8,8,NULL,8,8,NULL,11,NULL,40101010,198933,0,NULL,,\tom,2011-06-21 14:30:51.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
298,AET US,Aetna Inc,236,236,NULL,236,236,NULL,32,NULL,35102030,340068,0,533,NULL,SecSetup,2011-04-26 09:40:28.700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
299,WCG US,WellCare Health Plans Inc,236,236,NULL,236,236,NULL,32,NULL,35102030,959663,0,534,NULL,SecSetup,2011-04-26 09:40:30.203,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
300,PCLN US,priceline.com Inc,236,236,NULL,236,236,NULL,32,NULL,25502020,386346,0,555,NULL,SecSetup,2011-05-02 09:30:19.167,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
301,OPEN US,OpenTable Inc,236,236,NULL,236,236,NULL,32,NULL,45101010,15609853,0,565,NULL,SecSetup,2011-05-03 11:21:07.030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
302,RENRENZ CH,Renren Inc,17,17,NULL,17,17,NULL,36,NULL,45101010,24907971,0,567,NULL,SecSetup,2011-05-04 09:30:14.647,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
303,RPXC US,RPX Corp,236,236,NULL,236,236,NULL,32,NULL,20202020,18084905,0,568,NULL,SecSetup,2011-05-04 09:30:15.180,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
