BrokerId,BrokerGroupId,BrokerTypeId,BrokerCounterpartyTypeId,BrokerCode,BrokerDesc,IsSwap,IsProgram,IsTechShort,IsTechLong,ActiveYN,CrossTradeCommApplyYN,InternalCreditCommApplyYN,EzeBrokerCode
49,2,2,NULL,MWCC,MWCC,0,0,0,0,1,0,1,NULL
50,2,2,NULL,WILL,WILL,0,0,0,0,1,0,1,NULL
51,2,2,NULL,ITGA,ITGA,0,0,0,0,1,0,1,NULL
52,2,2,NULL,WILB,WILB,0,0,0,0,1,0,1,NULL
53,2,2,NULL,WEED,WEED,0,0,0,0,1,0,1,NULL
54,2,2,NULL,HOWA,HOWA,0,0,0,0,1,0,1,NULL
55,2,2,NULL,KBWI,KBWI,0,0,0,0,1,0,1,NULL
56,2,2,NULL,CLSA,CLSA,0,0,0,0,1,0,1,NULL
57,2,2,NULL,ISIS,ISIS,0,0,0,0,1,0,1,NULL
58,2,2,NULL,NITE,NITE,0,0,0,0,1,0,1,NULL
59,2,2,NULL,CROSS,CROSS,0,0,0,0,1,0,1,NULL
60,2,2,NULL,REBA,REBA,0,0,0,0,1,0,1,NULL
61,2,2,NULL,XXXX,XXXX,0,0,0,0,1,0,1,NULL
